Store,TransactionID,TransactionDate,TransactionType,OrderType,OrderSource,CustomerID,CustomerTypeID,IsMedical,EmployeeID,CompletedByUser,TerminalName,Subtotal,TotalDiscount,TotalBeforeTax,Tax,TipAmount,Total,TotalItems,CashPaid,DebitPaid,CreditPaid,GiftPaid,ElectronicPaid,TotalPaid,ChangeDue,LoyaltyEarned,LoyaltySpent,IsVoid,IsReturn,WasPreOrdered,InvoiceNumber,ReferenceID,GlobalID
Mint 75th Ave Phoenix,175847409,2026-01-12T22:50:35.443,Retail,In Store,Walk In,33924836,2,No,46525,Salina Lyon,REGISTER-08 PM,20,5,15,3.77,0,18.77,1,20,0,0,0,0,20,1.25,0.02,0,No,No,No,,175847409,ea6d9594-d0f5-44eb-b384-ea55a3f67881
Mint 75th Ave Phoenix,175847420,2026-01-12T22:49:55.777,Retail,In Store,Walk In,44723249,2,No,57778,Maximus Mercado,REGISTER-07 PM,70,11,59,14.81,0,73.81,1,75,0,0,0,0,75,1.2,0.06,0,No,No,No,,175847420,962414f5-c555-4156-b46e-3e00c2f66cef
Mint 75th Ave Phoenix,175847451,2026-01-12T22:55:25.897,Retail,In Store,Walk In,43233292,2,No,46525,Salina Lyon,REGISTER-08 PM,120,60,60,15.06,0,75.06,2,80,0,0,0,0,80,4.95,0.06,0,No,No,No,,175847451,32779b20-abc1-4a0c-a77e-c8fb153699a1
Mint 75th Ave Phoenix,175847453,2026-01-12T22:56:57.843,Retail,In Store,Walk In,47045186,2,No,57778,Maximus Mercado,REGISTER-07 PM,59,12.8,46.2,11.6,0,57.8,2,60,0,0,0,0,60,2.2,,,No,No,No,,175847453,55964960-20ce-4374-864d-18834dc2d70a
Mint 75th Ave Phoenix,175847455,2026-01-12T22:57:17.007,Retail,In Store,Walk In,45718359,2,No,51702,Sam Gilligan,REGISTER-16 PM,84,33.6,50.4,12.65,0,63.05,2,80.05,0,0,0,0,80.05,17,,,No,No,No,,175847455,8bc4765f-0421-466f-9a1f-f2e123444152
Mint 75th Ave Phoenix,175847465,2026-01-12T22:59:45.92,Retail,In Store,Walk In,47032379,2,No,46525,Salina Lyon,REGISTER-08 PM,60,1,59,14.81,0,73.81,1,80,0,0,0,0,80,6.2,0.06,0,No,No,No,,175847465,e7357bc6-2e15-43f3-a905-3a28c20053a5
Mint 75th Ave Phoenix,175847470,2026-01-12T23:00:23.32,Retail,In Store,Walk In,16808540,2,No,57778,Maximus Mercado,REGISTER-07 PM,40,20,20,5.02,0,25.02,1,40,0,0,0,0,40,15,0.02,0,No,No,No,,175847470,b24dc739-31ba-4e3f-a73a-89b146071b21
Mint 75th Ave Phoenix,175847477,2026-01-12T22:59:13.13,Retail,In Store,Walk In,16822047,2,No,51702,Sam Gilligan,REGISTER-16 PM,25,9,16,4.02,0,20.02,2,20.02,0,0,0,0,20.02,0,0.02,0,No,No,No,,175847477,7c73418d-087f-4315-ac24-f6d9f4b673c0
Mint 75th Ave Phoenix,175847524,2026-01-12T23:06:31.83,Retail,In Store,Walk In,47032379,2,No,57778,Maximus Mercado,REGISTER-07 PM,60,25,35,8.79,0,43.79,2,50,0,0,0,0,50,6.2,0.04,0,No,No,No,,175847524,1f13f2a6-c379-4dd1-a815-36298d3bb0d2
Mint 75th Ave Phoenix,175847556,2026-01-12T23:13:59.943,Retail,In Store,Walk In,46859858,2,No,57778,Maximus Mercado,REGISTER-07 PM,39,7.8,31.2,7.83,0,39.03,1,40,0,0,0,0,40,0.95,,,No,No,No,,175847556,061fa7e8-de18-48cf-9ec4-a30ad5f84f39
Mint 75th Ave Phoenix,175847574,2026-01-12T23:15:29.08,Retail,In Store,Walk In,45205980,2,No,51702,Sam Gilligan,REGISTER-16 PM,70,30,40,10.04,0,50.04,2,50.04,0,0,0,0,50.04,0,,,No,No,No,,175847574,19af9547-189c-4a3a-9d03-07edd7001e3d
Mint 75th Ave Phoenix,175847590,2026-01-12T23:20:25.997,Retail,In Store,Walk In,38796359,2,No,46525,Salina Lyon,REGISTER-08 PM,182,89,93,23.34,0,116.34,7,120,0,0,0,0,120,3.65,,,No,No,No,,175847590,f657f836-b51f-47c3-9f98-4f3fbadce804
Mint 75th Ave Phoenix,175847596,2026-01-12T23:15:05.717,Retail,In Store,Walk In,31855923,2,No,46525,Salina Lyon,REGISTER-08 PM,5,1,4,1,0,5,1,5,0,0,0,0,5,0,0,0,No,No,No,,175847596,048d509a-45c4-4450-8eaa-e698150f01a5
Mint 75th Ave Phoenix,175847604,2026-01-12T23:17:18.527,Retail,In Store,Walk In,46857780,2,No,51702,Sam Gilligan,REGISTER-16 PM,120,60,60,15.06,0,75.06,2,80.1,0,0,0,0,80.1,5.05,,,No,No,No,,175847604,138a6059-78ce-4ab8-bca1-b530de933c1b
Mint 75th Ave Phoenix,175847610,2026-01-12T23:19:32.877,Retail,In Store,Walk In,45992090,2,No,57778,Maximus Mercado,REGISTER-07 PM,45,10,35,8.79,0,43.79,1,60,0,0,0,0,60,16.2,0.04,0,No,No,No,,175847610,a09698b9-1e87-4d38-88a8-8f5b217189bf
Mint 75th Ave Phoenix,175847624,2026-01-12T23:29:37.78,Retail,In Store,Walk In,16820262,1,Yes,57778,Maximus Mercado,REGISTER-07 PM,179,88,91,8.28,0,99.28,7,100,0,0,0,0,100,0.7,,,No,No,No,,175847624,f5b08768-99b3-43ad-9eb5-fb1ee23b0ef3
Mint 75th Ave Phoenix,175847633,2026-01-12T23:28:38.873,Retail,In Store,Walk In,19102393,2,No,51702,Sam Gilligan,REGISTER-16 PM,25,10,15,3.77,0,18.77,2,20,0,0,0,0,20,1.25,0.02,0,No,No,No,,175847633,0f562ab6-2bbd-43e6-afff-7f15eba004d5
Mint 75th Ave Phoenix,175847639,2026-01-12T23:30:09.243,Retail,In Store,Walk In,47045208,2,No,46525,Salina Lyon,REGISTER-08 PM,71,33,38,9.54,0,47.54,3,60,0,0,0,0,60,12.45,,,No,No,No,,175847639,49baf12c-7222-43ef-aabe-cfc2f6f7da3d
Mint 75th Ave Phoenix,175847644,2026-01-12T23:29:33.823,Retail,In Store,Walk In,46887401,2,No,51702,Sam Gilligan,REGISTER-16 PM,5,1,4,1,0,5,1,5,0,0,0,0,5,0,,,No,No,No,,175847644,94c8b57f-4653-446d-b4f3-6198c61cf9b9
Mint 75th Ave Phoenix,175847648,2026-01-12T23:30:31.753,Retail,In Store,Walk In,20740268,2,No,57778,Maximus Mercado,REGISTER-07 PM,12,0,12,3.01,0,15.01,1,20,0,0,0,0,20,5,,,No,No,No,,175847648,48f19b77-68d8-4612-a3f9-57e81f844a5e
Mint 75th Ave Phoenix,175847651,2026-01-12T23:37:18.603,Retail,In Store,Walk In,16859503,2,No,46525,Salina Lyon,REGISTER-08 PM,222,105,117,29.37,0,146.37,6,160,0,0,0,0,160,13.65,,,No,No,No,,175847651,057f5ac7-35bb-4967-8f82-7ce259e56630
Mint 75th Ave Phoenix,175847670,2026-01-12T23:32:28.2,Retail,In Store,Walk In,16976373,2,No,51702,Sam Gilligan,REGISTER-16 PM,23,4,19,4.29,0,23.29,2,30.35,0,0,0,0,30.35,7.05,0.02,0,No,No,No,,175847670,f5b620f1-f65d-4fae-9138-91640330bb25
Mint 75th Ave Phoenix,175847681,2026-01-12T23:32:16.247,Retail,In Store,Walk In,39064154,2,No,57778,Maximus Mercado,REGISTER-07 PM,28,9,19,4.77,0,23.77,2,25,0,0,0,0,25,1.25,0.02,0,No,No,No,,175847681,fa7cb548-56fd-4091-8a5c-684b210cd403
Mint 75th Ave Phoenix,175847697,2026-01-12T23:33:51.473,Retail,In Store,Walk In,16810353,2,No,57778,Maximus Mercado,REGISTER-07 PM,5,1,4,1,0,5,1,20,0,0,0,0,20,15,,,No,No,No,,175847697,753a586e-bb59-415a-aa64-52b27c568d65
Mint 75th Ave Phoenix,175847708,2026-01-12T23:38:42.603,Retail,In Store,Walk In,46126460,2,No,51702,Sam Gilligan,REGISTER-16 PM,48,24,24,6.02,0,30.02,2,40.02,0,0,0,0,40.02,10,0.02,0,No,No,No,,175847708,31ff1bab-ae39-44c7-b23f-0f86fb57240b
Mint 75th Ave Phoenix,175847717,2026-01-12T23:38:57.473,Retail,In Store,Walk In,47045217,2,No,46525,Salina Lyon,REGISTER-08 PM,30,6,24,6.02,0,30.02,2,40,0,0,0,0,40,10,,,No,No,No,,175847717,bf57e0b3-7bc8-41a8-b30d-8099119b7e6f
Mint 75th Ave Phoenix,175847724,2026-01-12T23:41:55.243,Retail,In Store,Walk In,37236265,2,No,51702,Sam Gilligan,REGISTER-16 PM,54,24.3,29.7,7.45,0,37.15,1,40.15,0,0,0,0,40.15,3,0.03,0,No,No,No,,175847724,8e3bb28e-2ad9-48cc-bb15-a78d4e6c90d4
Mint 75th Ave Phoenix,175847727,2026-01-13T00:01:14.057,Retail,In Store,Walk In,39358352,2,No,57778,Maximus Mercado,REGISTER-07 PM,78,33.9,44.1,11.07,0,55.17,3,55.25,0,0,0,0,55.25,0.1,0.04,0,No,No,No,,175847727,3649b266-7ad3-4e8b-a03a-0361264d994d
Mint 75th Ave Phoenix,175847743,2026-01-12T23:44:17.11,Retail,In Store,Walk In,43130074,2,No,46525,Salina Lyon,REGISTER-08 PM,15,3,12,3.01,0,15.01,1,20,0,0,0,0,20,5,0.01,0,No,No,No,,175847743,112394be-5eab-49c4-946b-acf86ecaffdf
Mint 75th Ave Phoenix,175847784,2026-01-12T23:49:40.823,Retail,In Store,Walk In,30455237,2,No,46525,Salina Lyon,REGISTER-08 PM,46,20,26,6.53,0,32.53,4,100,0,0,0,0,100,67.45,0.03,0,No,No,No,,175847784,860c4c15-4fca-4dcd-a50b-cd3b65f030c0
Mint 75th Ave Phoenix,175847803,2026-01-12T23:58:27.63,Retail,In-Store Pickup,Dutchie,43504148,2,No,57778,Maximus Mercado,REGISTER-07 PM,35,15,20,5.02,0,25.02,1,40.02,0,0,0,0,40.02,15,,,No,No,No,,783095110,c53a544c-a05b-4a4d-9fbe-8f86d753d650
Mint 75th Ave Phoenix,175847823,2026-01-12T23:53:15.757,Retail,In Store,Walk In,47045234,2,No,51702,Sam Gilligan,REGISTER-16 PM,45,18,27,6.78,0,33.78,1,40,0,0,0,0,40,6.2,,,No,No,No,,175847823,5585ebac-bf91-4bb6-ad86-2545da25d3e5
Mint 75th Ave Phoenix,175848923,2026-01-13T11:12:58.397,Retail,In-Store Pickup,Dutchie,46078939,2,No,58438,Maria Soto,REGISTER-06 AM,32,12,20,5.02,0,25.02,1,26,0,0,0,0,26,1,,,No,No,No,,138374843,e0c1a891-9b07-46b7-9564-3ee050e07e4d
Mint 75th Ave Phoenix,175848945,2026-01-13T10:14:11.523,Retail,In Store,Walk In,40451208,1,Yes,58438,Maria Soto,REGISTER-06 AM,302,120.8,181.2,16.49,0,197.69,8,200,0,0,0,0,200,2.3,0.18,0,No,No,No,,175848945,37fa3e09-c6ee-4c7b-a25f-74277209791e
Mint 75th Ave Phoenix,175848948,2026-01-13T12:39:17.933,Retail,In-Store Pickup,Dutchie,25791691,2,No,43340,Julius Sheppard,REGISTER-14 AM,100,50,50,12.55,0,62.55,2,0,0,0,0,0,0,0,0.05,0,No,No,No,,108203684,b9b7c57a-6065-44b0-beb8-dfffd1cc59be
Mint 75th Ave Phoenix,175848972,2026-01-13T11:23:33.743,Retail,In-Store Pickup,Dutchie,16784951,1,Yes,43340,Julius Sheppard,REGISTER-14 AM,157,71,86,7.83,0,93.83,5,100,0,0,0,0,100,6.15,0.09,0,No,No,No,,884739560,c96019ab-8a6f-49de-9e42-4da0236cd4e2
Mint 75th Ave Phoenix,175848983,2026-01-13T10:18:40.58,Retail,In Store,Walk In,45529319,2,No,58438,Maria Soto,REGISTER-06 AM,34,17,17,4.27,0,21.27,1,21.27,0,0,0,0,21.27,0,,,No,No,No,,175848983,cf242cd3-8978-4e45-9aab-366b86f17c82
Mint 75th Ave Phoenix,175848989,2026-01-13T10:16:07.253,Retail,In Store,Walk In,40451208,2,No,58438,Maria Soto,REGISTER-06 AM,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No,No,No,,175848989,2fd3adca-2846-4c59-bc36-5d6fb4a5cc48
Mint 75th Ave Phoenix,175848992,2026-01-13T10:17:51.91,Retail,In Store,Walk In,16806338,2,No,40728,Breanna Echols,REGISTER-06 AM,48,11,37,8.01,0,45.01,6,100,0,0,0,0,100,55,0.04,0,No,No,No,,175848992,a538df8d-97dc-4db1-adde-ab15c6c7b1d5
Mint 75th Ave Phoenix,175848995,2026-01-13T10:20:17.82,Retail,In Store,Walk In,21471432,2,No,58438,Maria Soto,REGISTER-06 AM,20,4.4,15.6,3.92,0,19.52,1,20,0,0,0,0,20,0.5,0.02,0,No,No,No,,175848995,73321462-7c7e-480e-b1ae-6e960f2a5bb1
Mint 75th Ave Phoenix,175849019,2026-01-13T10:31:30.597,Retail,In Store,Walk In,47031957,2,No,58438,Maria Soto,REGISTER-06 AM,137,44,93,23.34,0,116.34,4,120,0,0,0,0,120,3.65,,,No,No,No,,175849019,01a5c313-abda-4e62-b41a-7452b8931c6d
Mint 75th Ave Phoenix,175849053,2026-01-13T10:34:11.36,Retail,In Store,Walk In,40670667,2,No,58438,Maria Soto,REGISTER-06 AM,64,34,30,7.53,0,37.53,2,40,0,0,0,0,40,2.45,0.03,0,No,No,No,,175849053,4cb6498b-db1b-4178-83d0-adef39ccb0d8
Mint 75th Ave Phoenix,175849098,2026-01-13T10:36:05.247,Retail,In Store,Walk In,45533442,2,No,58438,Maria Soto,REGISTER-06 AM,18,4,14,3.19,0,17.19,2,20,0,0,0,0,20,2.8,,,No,No,No,,175849098,4e97e29a-424f-4bb1-af11-228562e39069
Mint 75th Ave Phoenix,175849182,2026-01-13T10:52:18.867,Retail,In Store,Walk In,34643542,2,No,58438,Maria Soto,REGISTER-06 AM,35,13,22,5.52,0,27.52,1,28.02,0,0,0,0,28.02,0.5,0.02,0,No,No,No,,175849182,2376577b-71a7-4da5-ac78-e23ca42c241f
Mint 75th Ave Phoenix,175849191,2026-01-13T10:55:52.41,Retail,In Store,Walk In,46931531,2,No,58438,Maria Soto,REGISTER-06 AM,127,35,92,23.09,0,115.09,3,120,0,0,0,0,120,4.9,,,No,No,No,,175849191,a8f02a9e-1a60-4282-abf9-921c7b1d5f3d
Mint 75th Ave Phoenix,175849253,2026-01-13T11:05:55.657,Retail,In Store,Walk In,46611160,2,No,58438,Maria Soto,REGISTER-06 AM,20,5,15,3.77,0,18.77,1,20,0,0,0,0,20,1.25,,,No,No,No,,175849253,95e4d4cc-0007-4318-8e3e-a99a53782939
Mint 75th Ave Phoenix,175849254,2026-01-13T14:33:35.477,Retail,In-Store Pickup,Dutchie,36678391,2,No,58438,Maria Soto,REGISTER-06 AM,172,97,75,18.83,0,93.83,5,100,0,0,0,0,100,6.15,0.08,0,No,No,No,,186681358,f1653521-8f87-4779-95f8-affad850fa3b
Mint 75th Ave Phoenix,175849261,2026-01-13T11:07:32.833,Retail,In Store,Walk In,24029123,2,No,43340,Julius Sheppard,REGISTER-14 AM,16,3.2,12.8,3.21,0,16.01,1,20,0,0,0,0,20,4,,,No,No,No,,175849261,d27f9c44-bc53-43e9-a882-a22f1b2c0fa3
